id,source_url,bathrooms,bedrooms,price,squarefeet,payment,down_percent
3852,https://www.redfin.com/WA/Seattle/6717-35th-Pl-S-98118/home/478680,2.5,3,469000,1908,2048,8.53
2687,https://www.redfin.com/WA/Seattle/2554-30th-Ave-W-98199/home/128436,2.25,4,675000,2840,3032,5.93
3334,https://www.redfin.com/WA/Seattle/4223-S-Kenny-St-98118/home/172844,1.75,4,565900,2470,2511,7.07
3505,https://www.redfin.com/WA/Seattle/10617-56th-Ave-S-98178/home/178702,3.0,4,519950,2297,2291,7.69
3705,https://www.redfin.com/WA/Seattle/4242-NE-107th-St-98125/home/113105,1.75,2,649000,2810,2907,6.16
3281,https://www.redfin.com/WA/Seattle/9744-57th-Ave-S-98118/home/175813,3.0,5,460000,1900,2005,8.7
3013,https://www.redfin.com/WA/Seattle/7723-39th-Ave-S-98118/home/2092107,3.5,5,598000,2610,2664,6.69
3684,https://www.redfin.com/WA/Seattle/6913-31st-Pl-S-98108/home/477896,2.5,3,488000,1800,2139,8.2
2565,https://www.redfin.com/WA/Seattle/6718-15th-Ave-SW-98106/home/161354,2.25,5,565000,2500,2506,7.08
3615,https://www.redfin.com/WA/Seattle/5022-32nd-Ave-S-98118/home/479223,1.0,3,599000,2660,2669,6.68
2749,https://www.redfin.com/WA/Seattle/7947-46th-Ave-S-98118/home/174241,2.25,3,450000,1880,1957,8.89
2578,https://www.redfin.com/WA/Seattle/3027-NE-135th-St-98125/home/114258,1.75,3,475000,2210,2077,8.42
3438,https://www.redfin.com/WA/Seattle/7822-45th-Ave-SW-98136/home/156281,3.0,4,699000,2790,3146,5.72
3815,https://www.redfin.com/WA/Seattle/8303-35th-Ave-SW-98126/home/468760,1.0,3,469500,2200,2050,8.52
3422,https://www.redfin.com/WA/Seattle/8417-S-113th-St-98178/home/197251,2.0,4,465000,2190,2029,8.6
3113,https://www.redfin.com/WA/Seattle/3610-S-Ronald-Dr-98118/home/480234,1.75,3,425000,2060,1838,9.41
2582,https://www.redfin.com/WA/Seattle/611-N-127th-St-98133/home/97707,2.0,3,695000,2830,3127,5.76
2627,https://www.redfin.com/WA/Seattle/8018-S-113th-St-98178/home/198249,2.75,5,559000,2540,2478,7.16
3057,https://www.redfin.com/WA/Seattle/10205-23rd-Ct-SW-98146/home/180509,2.5,3,449990,1850,1957,8.89
3577,https://www.redfin.com/WA/Seattle/10603-4th-Ave-SW-98146/home/183350,2.0,5,430000,1900,1862,9.3
3324,https://www.redfin.com/WA/Seattle/8809-3rd-Ave-S-98108/home/477232,2.0,4,399000,2040,1714,10.03
3418,https://www.redfin.com/WA/Burien/846-SW-132nd-St-98146/home/184512,2.5,3,394950,2031,1695,10.13
3866,https://www.redfin.com/WA/Seattle/11821-78th-Ave-S-98178/home/199625,2.75,3,450000,2220,1957,8.89
3420,https://www.redfin.com/WA/Seattle/11255-57th-Ave-S-98178/home/178892,2.0,4,399000,2080,1714,10.03
3460,https://www.redfin.com/WA/Seattle/10405-10th-Ave-SW-98146/home/181410,2.0,4,380000,2040,1623,10.53
3132,https://www.redfin.com/WA/Seattle/11255-57th-Ave-S-98178/home/178892,2.0,4,390000,2080,1671,10.26
2845,https://www.redfin.com/WA/Seattle/8048-S-116th-St-98178/home/198968,3.25,4,424888,1810,1838,9.41
3248,https://www.redfin.com/WA/Seattle/8605-55th-Ave-S-98118/home/489791,1.5,4,569880,2710,2530,7.02
3450,https://www.redfin.com/WA/Seattle/5318-26th-Ave-S-98108/home/478188,2.5,3,399000,1880,1714,10.03
3765,https://www.redfin.com/WA/Seattle/1050-S-Sullivan-St-98108/home/477268,2.0,4,370000,2040,1575,10.81
3694,https://www.redfin.com/WA/Seattle/2636-SW-106th-St-98146/home/12315884,2.75,4,620000,2910,2769,6.45
3178,https://www.redfin.com/WA/Seattle/11421-21st-Ave-SW-98146/home/179963,2.25,3,449950,2306,1957,8.89
3033,https://www.redfin.com/WA/Seattle/11421-21st-Ave-SW-98146/home/179963,2.25,3,449950,2306,1957,8.89
3130,https://www.redfin.com/WA/Seattle/12031-67th-Ave-S-98178/home/196162,2.0,4,479500,2420,2098,8.34
3461,https://www.redfin.com/WA/Seattle/5146-S-Leo-St-98178/home/178261,2.5,4,420000,2240,1814,9.52
3111,https://www.redfin.com/WA/Seattle/3779-S-Perry-St-98118/home/2067029,2.5,4,598950,2900,2669,6.68
3034,https://www.redfin.com/WA/Seattle/12505-8th-Ave-SW-98146/home/181626,1.75,5,395950,1800,1699,10.1
2613,https://www.redfin.com/WA/Seattle/12860-Renton-Ave-S-98178/home/197366,2.25,3,369950,1870,1575,10.81
3160,https://www.redfin.com/WA/Seattle/8600-S-134th-St-98178/home/2064636,1.75,4,499950,2550,2196,8.0
2757,https://www.redfin.com/WA/Seattle/2317-N-122nd-St-98133/home/103536,2.5,4,535000,2680,2363,7.48
2475,https://www.redfin.com/WA/Seattle/11822-79th-Pl-S-98178/home/197951,2.75,4,630000,3050,2817,6.35
3662,https://www.redfin.com/WA/Seattle/5114-S-Creston-St-98178/home/28446546,2.75,4,449990,2400,1957,8.89
2891,https://www.redfin.com/WA/Seattle/5339-S-Ruggles-St-98178/home/177971,2.0,7,449000,2400,1953,8.91
3374,https://www.redfin.com/WA/Seattle/815-SW-106th-St-98146/home/181561,1.5,5,439950,2370,1909,9.09
2494,https://www.redfin.com/WA/Seattle/11717-Luther-Ave-S-98178/home/177863,2.75,5,480000,2520,2101,8.33
3795,https://www.redfin.com/WA/Seattle/8814-20th-Ave-SW-98106/home/475255,2.25,5,499000,2600,2191,8.02
